siren_clean,departement,commune_insee
300483286,92,
300483484,92,
300483542,59,
300483674,59,
300483724,75,
300483914,62,
300484201,59,
300484367,59,
300484516,59,
300484540,59,
300484573,62,
300484607,59,
300484813,59,
300485059,42,
300485133,31,
300485513,75,
300485596,13,
300485653,06,
300485703,10,
300488616,62,
300488756,62,
300489697,26,
300498441,92,
300498904,94,
300498920,78,
300499001,78,
300500055,75,
300500063,83,
300500345,92,
300500428,75,
300500915,59,
300501202,63,
300502051,13,
300502309,06,
300511060,94,
300511383,14,
300511904,91,
300512126,78,
300512241,75,
300512852,94,
300513041,14,
300513405,59,
300514254,62,
300514502,69,
300520178,69,
300520467,58,
300520533,63,
300520657,69,
300520798,69,
300520848,37,
300521101,75,
300521184,67,
300521242,92,
300521465,75,
300521689,74,
300522356,08,
300522505,42,
300526779,88,
300527025,67,
300527082,69,
300527090,69,
300527215,38,
300527306,67,
300527330,69,
300527470,38,
300527819,55,
300527959,10,
300529823,69,
300530045,69,
300530268,31,
300530516,38,
300531076,27,
300531118,76,
300531159,38,
300531290,26,
300531894,26,
300535556,69,
300535739,54,
300536414,75,
300536448,28,
300536588,26,
300544897,66,
300558400,92,
300558616,64,
300558905,24,
300559226,30,
300559291,13,
300559978,08,
300560539,92,
300560588,92,
300569555,92,
300570058,78,
300570157,93,
300570231,75,
300570637,94,
300570892,93,
300570942,31,
300571049,93,
300571080,93,
300571619,92,
300571643,92,
300571791,64,
300571809,45,
300571940,64,
300571981,64,
300572336,64,
300572484,55,
300572849,13,
300572930,13,
300573193,92,
300573292,92,
300573367,93,
300573383,93,
300573680,78,
300573714,92,
300573821,33,
300574183,77,
300574886,75,
300574894,92,
300574944,75,
300575016,91,
300575248,14,
300575370,75,
300576774,06,
300576865,75,
300577061,75,
300577202,58,
300577350,75,
300577624,40,
300577731,74,
300577913,13,
300584448,75,
300584604,75,
300585262,92,
300585858,59,
300586476,06,
300586765,06,
300588795,84,
300588886,84,
300589306,06,
300599537,16,
300599677,81,
300600053,41,
300600194,68,
300600277,72,
300600475,18,
300600582,67,
300600657,21,
300600665,22,
300601374,54,
300601572,06,
300601648,13,
300601747,49,
300608775,62,
300608981,72,
300609104,94,
300631413,69,
300631934,2A,
300631991,2A,
300632122,2B,
300632197,93,
300632478,83,
300633229,13,
300634789,06,
300635216,04,
300642709,92,
300642881,38,
300643269,2B,
300643418,2A,
300643434,2B,
300643632,13,
300643830,13,
300644085,80,
300644218,83,
300644697,06,
300644838,59,
300644853,45,
300644929,02,
300645124,73,
300647609,45,
300647765,45,
300647906,45,
300648003,30,
300648144,13,
300648334,2A,
300648383,2B,
300648391,13,
300648441,06,
300650025,59,
300650041,21,
300656238,60,
300656774,38,
300656808,38,
300656865,51,
300656907,26,
300657038,83,
300662079,75,
300662814,13,
300662822,59,
300667359,67,
300667391,82,
300667474,68,
300667623,67,
300667714,57,
300667755,67,
300667904,13,
300670999,33,
300673886,60,
300674413,83,
300684958,64,
300685088,64,
300685484,60,
300685609,47,
300685948,57,
300686730,06,
300686995,10,
300687092,64,
300691557,13,
300692001,10,
300692019,10,
300692175,05,
300692290,64,
300692753,64,
300700119,71,
300700127,83,
300700234,91,
300700267,33,
300700275,59,
300700523,59,
300700879,57,
300701067,64,
300701471,75,
300701844,33,
300702172,24,
300702230,21,
300702255,24,
300702305,75,
300702396,33,
300705142,59,
300705191,59,
300705217,59,
